time,L_IMU,R_IMU,L_Torque_d,L_Torque,L_AngPos,R_Torque_d,R_Torque,R_AngPos
0.03548479080200195,0.0,0.0,5.97,5.99,-0.1,5.97,0.0,-0.1
0.07512497901916504,0.0,0.0,4.99,5.03,-0.04,4.99,0.0,-0.04
0.13582682609558105,0.0,0.0,2.76,2.81,0.01,2.76,0.0,0.01
0.17595195770263672,0.0,0.0,-0.13,-0.05,0.07,-0.13,0.0,0.07
0.23612475395202637,0.0,0.0,-3.01,-2.49,0.13,-3.01,0.0,0.13
0.27522706985473633,0.0,0.0,-5.14,-4.87,0.17,-5.14,0.0,0.17
0.336331844329834,0.0,0.0,-5.99,-5.95,0.19,-5.99,0.0,0.19
0.37630200386047363,0.0,0.0,-5.36,-5.38,0.19,-5.36,0.0,0.19
0.4547698497772217,0.0,0.0,-3.41,-3.51,0.18,-3.41,0.0,0.18
0.474625825881958,0.0,0.0,-0.6,-0.98,0.15,-0.6,0.0,0.15
0.5353748798370361,0.0,0.0,2.34,1.89,0.1,2.34,0.0,0.1
0.5749061107635498,0.0,0.0,4.71,4.66,0.04,4.71,0.0,0.04
0.6348168849945068,0.0,0.0,5.91,5.89,-0.01,5.91,0.0,-0.01
0.6752159595489502,0.0,0.0,5.65,5.67,-0.07,5.65,0.0,-0.07
0.7361199855804443,0.0,0.0,3.99,4.53,-0.13,3.99,0.0,-0.13
0.7751710414886475,0.0,0.0,1.34,1.97,-0.17,1.34,0.0,-0.17
0.8360178470611572,0.0,0.0,-1.63,-1.46,-0.19,-1.63,0.0,-0.19
0.8751189708709717,0.0,0.0,-4.21,-3.9,-0.19,-4.21,0.0,-0.19
0.9352328777313232,0.0,0.0,-5.75,-5.68,-0.18,-5.75,0.0,-0.18
0.9751110076904297,0.0,0.0,-5.86,-5.89,-0.14,-5.86,0.0,-0.14
1.0359690189361572,0.0,0.0,-4.52,-4.59,-0.1,-4.52,0.0,-0.1
1.0763497352600098,0.0,0.0,-2.06,-2.21,-0.04,-2.06,0.0,-0.04
1.1361567974090576,0.0,0.0,0.9,0.84,0.01,0.9,0.0,0.01
1.196084976196289,0.0,0.0,3.65,3.57,0.07,3.65,0.0,0.07
1.2356269359588623,0.0,0.0,5.49,5.27,0.13,5.49,0.0,0.13
1.2960307598114014,0.0,0.0,5.97,5.99,0.17,5.97,0.0,0.17
1.336069107055664,0.0,0.0,4.97,5.02,0.19,4.97,0.0,0.19
1.3960471153259277,0.0,0.0,2.74,2.81,0.19,2.74,0.0,0.19
1.4352691173553467,0.0,0.0,-0.16,-0.1,0.18,-0.16,0.0,0.18
1.4952149391174316,0.0,0.0,-3.03,-2.95,0.14,-3.03,0.0,0.14
1.5352427959442139,0.0,0.0,-5.15,-5.11,0.1,-5.15,0.0,0.1
1.5952088832855225,0.0,0.0,-5.99,-5.95,0.04,-5.99,0.0,0.04
1.6353778839111328,0.0,0.0,-5.35,-5.67,-0.01,-5.35,0.0,-0.01
1.6951549053192139,0.0,0.0,-3.39,-3.87,-0.07,-3.39,0.0,-0.07
1.735083818435669,0.0,0.0,-0.58,-1.09,-0.13,-0.58,0.0,-0.13
1.7958829402923584,0.0,0.0,2.36,2.15,-0.17,2.36,0.0,-0.17
1.8358478546142578,0.0,0.0,4.72,4.67,-0.19,4.72,0.0,-0.19
1.894615888595581,0.0,0.0,5.92,5.91,-0.19,5.92,0.0,-0.19
1.9353749752044678,0.0,0.0,5.65,5.68,-0.18,5.65,0.0,-0.18
1.9960098266601562,0.0,0.0,3.98,4.11,-0.14,3.98,0.0,-0.14
2.0361998081207275,0.0,0.0,1.32,1.65,-0.1,1.32,0.0,-0.1
2.094890832901001,0.0,0.0,-1.65,-1.56,-0.04,-1.65,0.0,-0.04
2.1351609230041504,0.0,0.0,-4.22,-4.18,0.01,-4.22,0.0,0.01
2.1944479942321777,0.0,0.0,-5.75,-5.72,0.07,-5.75,0.0,0.07
2.235244035720825,0.0,0.0,-5.85,-5.91,0.13,-5.85,0.0,0.13
2.295893907546997,0.0,0.0,-4.51,-4.58,0.17,-4.51,0.0,0.17
2.3352348804473877,0.0,0.0,-2.04,-2.5,0.19,-2.04,0.0,0.19
2.3949790000915527,0.0,0.0,0.92,0.69,0.19,0.92,0.0,0.19
2.4351699352264404,0.0,0.0,3.66,3.15,0.18,3.66,0.0,0.18
2.4959359169006348,0.0,0.0,5.5,5.26,0.14,5.5,0.0,0.14
2.5351457595825195,0.0,0.0,5.97,5.99,0.1,5.97,0.0,0.1
2.5960428714752197,0.0,0.0,4.96,5.0,0.04,4.96,0.0,0.04
2.635438919067383,0.0,0.0,2.73,2.96,-0.01,2.73,0.0,-0.01
2.696028709411621,0.0,0.0,-0.17,-0.11,-0.07,-0.17,0.0,-0.07
2.735546112060547,0.0,0.0,-3.04,-2.9,-0.13,-3.04,0.0,-0.13
2.7959530353546143,0.0,0.0,-5.15,-4.79,-0.17,-5.15,0.0,-0.17
2.836219072341919,0.0,0.0,-5.99,-5.97,-0.19,-5.99,0.0,-0.19
2.9161808490753174,0.0,0.0,-5.35,-5.39,-0.19,-5.35,0.0,-0.19
2.9370570182800293,0.0,0.0,-3.38,-3.48,-0.18,-3.38,0.0,-0.18
3.0158350467681885,0.0,0.0,-0.57,-0.65,-0.14,-0.57,0.0,-0.14
3.035735845565796,0.0,0.0,2.37,2.27,-0.1,2.37,0.0,-0.1
3.095925807952881,0.0,0.0,4.73,4.67,-0.04,4.73,0.0,-0.04
3.135347843170166,0.0,0.0,5.92,5.8,0.01,5.92,0.0,0.01
3.1960909366607666,0.0,0.0,5.64,5.79,0.08,5.64,0.0,0.08
3.2354989051818848,0.0,0.0,3.97,4.1,0.13,3.97,0.0,0.13
3.29601788520813,0.0,0.0,1.31,1.36,0.17,1.31,0.0,0.17
3.3353428840637207,0.0,0.0,-1.67,-1.52,0.19,-1.67,0.0,0.19
3.3951900005340576,0.0,0.0,-4.24,-4.16,0.19,-4.24,0.0,0.19
3.4349679946899414,0.0,0.0,-5.76,-5.72,0.18,-5.76,0.0,0.18
3.4960169792175293,0.0,0.0,-5.85,-5.87,0.14,-5.85,0.0,0.14
3.535334825515747,0.0,0.0,-4.49,-4.54,0.1,-4.49,0.0,0.1
3.5960607528686523,0.0,0.0,-2.02,-2.29,0.04,-2.02,0.0,0.04
3.635504961013794,0.0,0.0,0.94,0.88,-0.01,0.94,0.0,-0.01
3.696026086807251,0.0,0.0,3.68,3.63,-0.08,3.68,0.0,-0.08
3.735153913497925,0.0,0.0,5.5,5.43,-0.13,5.5,0.0,-0.13
3.795759916305542,0.0,0.0,5.97,5.99,-0.17,5.97,0.0,-0.17
3.8352229595184326,0.0,0.0,4.95,5.01,-0.19,4.95,0.0,-0.19
3.8950979709625244,0.0,0.0,2.71,2.78,-0.19,2.71,0.0,-0.19
3.9352128505706787,0.0,0.0,-0.19,-0.15,-0.18,-0.19,0.0,-0.18
4.035772085189819,0.0,0.0,-3.06,-2.77,-0.14,-3.06,0.0,-0.14
4.057809829711914,0.0,0.0,-5.16,-5.04,-0.1,-5.16,0.0,-0.1
4.095767974853516,0.0,0.0,-5.99,-5.99,-0.04,-5.99,0.0,-0.04
4.135117053985596,0.0,0.0,-5.34,-5.37,0.01,-5.34,0.0,0.01
4.195987939834595,0.0,0.0,-3.36,-4.0,0.08,-3.36,0.0,0.08
4.235743999481201,0.0,0.0,-0.55,-0.67,0.13,-0.55,0.0,0.13
4.2960898876190186,0.0,0.0,2.39,2.27,0.17,2.39,0.0,0.17
4.335451126098633,0.0,0.0,4.74,4.67,0.19,4.74,0.0,0.19
4.3959338665008545,0.0,0.0,5.92,5.9,0.19,5.92,0.0,0.19
4.435380935668945,0.0,0.0,5.63,5.67,0.18,5.63,0.0,0.18
4.494996786117554,0.0,0.0,3.95,4.45,0.14,3.95,0.0,0.14
4.535124778747559,0.0,0.0,1.29,2.08,0.1,1.29,0.0,0.1
4.596028804779053,0.0,0.0,-1.69,-1.35,0.04,-1.69,0.0,0.04
4.635325908660889,0.0,0.0,-4.25,-4.2,-0.01,-4.25,0.0,-0.01
4.695451974868774,0.0,0.0,-5.76,-5.73,-0.08,-5.76,0.0,-0.08
4.735350847244263,0.0,0.0,-5.85,-5.86,-0.13,-5.85,0.0,-0.13
